Section,Part,QTY,Description,Reseller,Product URL,Unit Price,Total
Printed Parts,X-Idler,2,X-Idler,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,X-Right,4,X-Right,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,X-Teeth,1,X-Teeth,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,XMotor,2,XMotor,Laydrop,www.laydrop.com,120.0,240.0
Printed Parts,Y-BackRight,4,Y Back Right Corner,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-Beltholder,2,Y-Beltholder,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-ClampHookLeft,2,Y Clamp Hook Left,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-ClampHookRight,2,Y-ClampHookRight,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-ClickClampL,2,Y-ClickClamp Left,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-ClickClampR,2,Y-ClickClamp Right,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-FrontLeft,2,Y-FrontLeft,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-FrontRight,2,Y-FrontRight,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-MiddleLeft,2,Y-MiddleLeft,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-MiddleRight,2,Y-MiddleRight,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Y-MotorHolder,2,Y-MotorHolder,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Z-BottomLeft,1,Z-BottomLeft,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Z-BottomRight,3,Z-BottomRight,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Z-EndStopMount,2,Z-EndStopMount,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Z-TopLeft,2,Z-TopLeft,Laydrop,www.laydrop.com,0.0,0.0
Printed Parts,Z-TopRight,2,Z-TopRight,Laydrop,www.laydrop.com,0.0,0.0
,,,,,,Sub Total,240.0
Rods,8 x 320,2,8 x 320 Smooth Rod 1.2210 - 115 Cr V 3,CNC Shop,http://www.cncshop.at/index.php,5.28,10.56
Rods,8 x 350,1,8 x 350 Smooth Rod 1.2210 - 115 Cr V 3,CNC Shop,http://www.cncshop.at/index.php?a=4029,5.28,5.28
Rods,8 x 380,2,8 x 380 Smooth Rod 1.2210 - 115 Cr V 3,CNC Shop,http://www.cncshop.at/index.php,5.28,10.56
Rods,8 x 426,1,8 x 426 Smooth Rod 1.2210 - 115 Cr V 3,CNC Shop,http://www.cncshop.at/index.php?a=4029,6.6,6.6
Rods,M10 x 382,2,M10 x 382 Steel Galvanized,Bauhaus,none,0.7,1.4
Rods,M5x310,2,M5 x 310 Threaded Rod A2 Stainless steel,Bauhaus,none,0.9,1.8
,,,,,,Sub Total,36.2
,,,,,,Total,823.16
